Country,Year,Working Age,0-4,15-64,65 & above,Total,Inverse Dependency Ratio
Brazil,2050,137165.736,10475.659,21622.489,49248.083,81346.231,1.69
Brazil,2045,143139.628,10805.809,22106.838,43904.025,76816.672,1.86
Brazil,2040,147530.52,10881.996,22871.238,38857.161,72610.395,2.03
Brazil,2035,149795.497,11297.362,23861.947,34347.668,69506.977,2.16
Brazil,2030,150585.68,11655.112,25264.213,29641.113,66560.438,2.26
Brazil,2025,150299.454,12299.191,26759.025,24443.862,63502.078,2.37
Brazil,2020,147084.288,13071.355,28892.411,20003.069,61966.835,2.37
Brazil,2015,140417.969,13810.353,32357.817,16279.383,62447.553,2.25
Brazil,2010,132174.037,15227.735,34540.15,13481.33,63249.215,2.09
China,2050,870114.832,70047.464,146303.846,330578.665,546929.975,1.59
China,2045,897349.768,73023.907,146712.975,323201.924,542938.806,1.65
China,2040,916062.499,73722.342,148643.093,316627.3,538992.735,1.7
China,2035,950579.757,73474.165,156971.99,281324.944,511771.099,1.86
China,2030,983246.515,75702.082,170861.369,232657.954,479221.405,2.05
China,2025,996521.314,81884.308,180548.579,194185.987,456618.874,2.18
China,2020,996036.459,89707.847,178559.783,166851.073,435118.703,2.29
China,2015,998162.244,91733.237,174201.755,131901.012,397836.004,2.51
China,2010,973303.162,87873.059,181538.058,111432.164,380843.281,2.56
India,2050,1097969.233,95726.291,198261.025,221843.401,515830.717,2.13
India,2045,1099823.548,99081.822,201320.803,193626.031,494028.656,2.23
India,2040,1088360.709,101241.525,207444.621,167715.707,476401.853,2.28
India,2035,1061287.172,102368.805,218987.178,145236.099,466592.082,2.27
India,2030,1021686.532,107666.153,230668.572,124576.625,462911.35,2.21
India,2025,972464.467,114343.155,239488.404,104975.735,458807.294,2.12
India,2020,916277.968,119878.906,244553.477,86514.225,450946.608,2.03
India,2015,852921.382,123796.62,247842.293,69631.748,441270.661,1.93
India,2010,780571.168,125648.369,248510.888,59733.887,433893.144,1.8
Russian Federation,2050,70086.263,6231.644,12571.893,27207.23,46010.767,1.52
Russian Federation,2045,75053.201,6368.449,12107.059,25569.782,44045.29,1.7
Russian Federation,2040,79132.026,6212.551,11799.17,25004.637,43016.358,1.84
Russian Federation,2035,82294.12,5904.318,12368.656,24820.327,43093.301,1.91
Russian Federation,2030,84239.015,5905.746,13735.133,24984.46,44625.339,1.89
Russian Federation,2025,87391.831,6477.006,15016.718,23459.795,44953.519,1.94
Russian Federation,2020,91895.398,7277.901,15320.306,20911.918,43510.125,2.11
Russian Federation,2015,96848.364,7764.445,14551.792,18818.825,41135.062,2.35
Russian Federation,2010,101235.851,7583.967,13426.988,18119.755,39130.71,2.59
